Zeit [s];Spannung [V];Strom [A];Ladung [mAh];Leistung [W];Energie [Wh]
0;  4,940;  1,500;375,000;  7,410;  0,002
10;  4,895;  1,500;379,000;  7,342;  0,004
20;  4,850;  1,500;383,000;  7,275;  0,006
30;  4,815;  1,500;387,000;  7,223;  0,008
40;  4,790;  1,500;391,000;  7,185;  0,010
50;  4,760;  1,500;395,000;  7,140;  0,012
60;  4,750;  1,500;399,000;  7,125;  0,014
70;  4,725;  1,500;403,000;  7,087;  0,016
80;  4,725;  1,500;407,000;  7,087;  0,018
90;  4,730;  1,500;412,000;  7,095;  0,020
100;  4,700;  1,500;416,000;  7,050;  0,022
110;  4,695;  1,500;420,000;  7,043;  0,024
120;  4,695;  1,500;424,000;  7,043;  0,026
130;  4,670;  1,500;428,000;  7,005;  0,028
140;  4,670;  1,500;432,000;  7,005;  0,030
150;  4,665;  1,500;436,000;  6,998;  0,032
160;  4,660;  1,500;440,000;  6,990;  0,034
170;  4,650;  1,500;445,000;  6,975;  0,036
180;  4,650;  1,500;449,000;  6,975;  0,038
190;  4,640;  1,500;453,000;  6,960;  0,039
200;  4,640;  1,500;457,000;  6,960;  0,041
210;  4,625;  1,500;461,000;  6,938;  0,043
220;  4,630;  1,500;465,000;  6,945;  0,045
230;  4,640;  1,500;469,000;  6,960;  0,047
240;  4,625;  1,500;473,000;  6,938;  0,049
250;  4,625;  1,500;477,000;  6,938;  0,051
260;  4,630;  1,500;482,000;  6,945;  0,053
270;  4,620;  1,500;486,000;  6,930;  0,055
280;  4,620;  1,500;490,000;  6,930;  0,057
290;  4,610;  1,500;494,000;  6,915;  0,059
300;  4,610;  1,500;498,000;  6,915;  0,061
310;  4,600;  1,500;502,000;  6,900;  0,063
320;  4,590;  1,500;507,000;  6,885;  0,064
330;  4,595;  1,500;511,000;  6,893;  0,066
340;  4,595;  1,500;515,000;  6,893;  0,068
350;  4,590;  1,500;519,000;  6,885;  0,070
360;  4,590;  1,500;523,000;  6,885;  0,072
370;  4,575;  1,500;527,000;  6,863;  0,074
380;  4,585;  1,500;531,000;  6,877;  0,076
390;  4,580;  1,500;535,000;  6,870;  0,078
400;  4,580;  1,500;540,000;  6,870;  0,080
410;  4,575;  1,500;544,000;  6,863;  0,082
420;  4,580;  1,500;548,000;  6,870;  0,084
430;  4,575;  1,500;552,000;  6,863;  0,085
440;  4,565;  1,500;556,000;  6,848;  0,087
450;  4,555;  1,500;560,000;  6,832;  0,089
460;  4,565;  1,500;564,000;  6,848;  0,091
470;  4,565;  1,500;568,000;  6,848;  0,093
480;  4,545;  1,500;572,000;  6,817;  0,095
490;  4,545;  1,500;577,000;  6,817;  0,097
500;  4,550;  1,500;581,000;  6,825;  0,099
510;  4,535;  1,500;585,000;  6,803;  0,101
520;  4,530;  1,500;589,000;  6,795;  0,103
530;  4,530;  1,500;593,000;  6,795;  0,104
540;  4,530;  1,500;593,000;  6,795;  0,106
550;  4,535;  1,500;597,000;  6,803;  0,108
560;  4,535;  1,500;601,000;  6,803;  0,110
570;  4,510;  1,500;605,000;  6,765;  0,112
580;  4,520;  1,500;610,000;  6,780;  0,114
590;  4,500;  1,500;614,000;  6,750;  0,116
600;  4,510;  1,500;618,000;  6,765;  0,118
610;  4,505;  1,500;622,000;  6,758;  0,119
620;  4,500;  1,500;626,000;  6,750;  0,121
630;  4,500;  1,500;630,000;  6,750;  0,123
640;  4,500;  1,500;630,000;  6,750;  0,125
650;  4,495;  1,500;635,000;  6,742;  0,127
660;  4,500;  1,500;638,000;  6,750;  0,129
670;  4,490;  1,500;642,000;  6,735;  0,131
680;  4,480;  1,500;647,000;  6,720;  0,133
690;  4,470;  1,500;651,000;  6,705;  0,134
700;  4,450;  1,500;655,000;  6,675;  0,136
710;  4,450;  1,500;659,000;  6,675;  0,138
720;  4,455;  1,500;663,000;  6,683;  0,140
730;  4,445;  1,500;667,000;  6,668;  0,142
740;  4,445;  1,500;671,000;  6,668;  0,144
750;  4,430;  1,500;675,000;  6,645;  0,146
760;  4,435;  1,500;680,000;  6,652;  0,147
770;  4,430;  1,500;684,000;  6,645;  0,149
780;  4,415;  1,500;688,000;  6,623;  0,151
790;  4,405;  1,500;692,000;  6,607;  0,153
800;  4,395;  1,500;696,000;  6,592;  0,155
810;  4,395;  1,500;700,000;  6,592;  0,157
820;  4,380;  1,500;705,000;  6,570;  0,158
830;  4,375;  1,500;708,000;  6,563;  0,160
840;  4,355;  1,500;712,000;  6,533;  0,162
850;  4,355;  1,500;717,000;  6,533;  0,164
860;  4,340;  1,500;721,000;  6,510;  0,166
870;  4,320;  1,500;725,000;  6,480;  0,168
880;  4,310;  1,500;729,000;  6,465;  0,169
890;  4,290;  1,500;733,000;  6,435;  0,171
900;  4,280;  1,500;737,000;  6,420;  0,173
910;  4,245;  1,500;742,000;  6,367;  0,175
920;  4,230;  1,500;746,000;  6,345;  0,176
930;  4,200;  1,500;750,000;  6,300;  0,178
940;  4,185;  1,500;754,000;  6,277;  0,180
950;  4,140;  1,500;758,000;  6,210;  0,182
960;  4,110;  1,500;762,000;  6,165;  0,183
970;  4,055;  1,500;766,000;  6,082;  0,185
980;  4,005;  1,500;770,000;  6,008;  0,187
990;  3,915;  1,500;775,000;  5,873;  0,188
1000;  3,840;  1,500;779,000;  5,760;  0,190
1010;  3,710;  1,500;783,000;  5,565;  0,191
1020;  3,500;  1,500;787,000;  5,250;  0,193
1030;  3,315;  1,500;791,000;  4,973;  0,194
1040;  3,225;  1,500;795,000;  4,838;  0,196
